id,Governroate,District,Sub.District,Area,Place,PlaceID,sites.Religious.Buildings,sites.Unfinished.Buildings,sites.Open.Air,families.Religious.Buildings,families.Unfinished.Buildings,families.Open.Air,dtmfam.Religious.Buildings,dtmfam.Unfinished.Buildings,diff.Religious.Buildings,diff.Unfinished.Buildings
101,Sulaymaniyah,Chamchamal,,,Anfalakan,24214,,60,,,148,,0,105,0,43
102,Sulaymaniyah,Darbandihkan,,,Sara,,1,,,17,,,,,17,0
103,Sulaymaniyah,Dokan,,,Banwan,23924,1,,,8,,,0,0,8,0
104,Sulaymaniyah,Dokan,,,Centre,3643,1,,,7,,,0,0,7,0
105,Sulaymaniyah,Dokan,,,Daban,,,1,,,8,,,,0,8
106,Sulaymaniyah,Kalar,,,Salih Agha,24215,,1,1,,20,20,0,308,0,-288
107,Sulaymaniyah,Pshdar,,,Ashty,,1,,,116,,,,,116,0
108,Sulaymaniyah,Sulaymaniyah,,,Chwarchra,21287,,1,,,35,,65,0,-65,35
109,Sulaymaniyah,Sulaymaniyah,,,Khak,,,7,,,47,,,,0,47
110,Sulaymaniyah,Sulaymaniyah,,,Qularaese Kon,6251,,5,,,30,,0,103,0,-73
111,Sulaymaniyah,Sulaymaniyah,,,Tasluja,5809,,1,,,14,,0,0,0,14

