gov_en,gov_ar,dis_en,dis_ar,subdistrict_en,subdistrict_ar,male.urban,female.urban ,total.urban,male.rural,female_rural,total.rural,male.pop,female.pop,total.pop
Sulaymaniyah,السليمانية,Rania,رانية,Serkhbakan,سرةكة بكان," 1,367 "," 1,310 "," 2,677 "," 2,310 "," 2,332 "," 4,641 "," 3,676 "," 3,641 "," 7,318 "
Sulaymaniyah,السليمانية,Dokan,دوكان,,مركز قضاء دوكان," 4,921 "," 4,716 "," 9,636 "," 1,755 "," 1,771 "," 3,526 "," 6,675 "," 6,487 "," 13,162 "
Sulaymaniyah,السليمانية,Dokan,دوكان,Surdash,سورداش, 613 , 587 ," 1,200 "," 2,238 "," 2,259 "," 4,498 "," 2,851 "," 2,847 "," 5,698 "
Sulaymaniyah,السليمانية,Dokan,دوكان,Beramakron,بيرة مكرون," 13,493 "," 12,931 "," 26,425 "," 2,676 "," 2,701 "," 5,378 "," 16,169 "," 15,633 "," 31,802 "
Sulaymaniyah,السليمانية,Dokan,دوكان,Khalakan,خة لة كان," 1,433 "," 1,373 "," 2,806 "," 1,620 "," 1,635 "," 3,255 "," 3,053 "," 3,009 "," 6,062 "
Sulaymaniyah,السليمانية,Dokan,دوكان,Khidran,خدران, 602 , 577 ," 1,178 ", 840 , 848 ," 1,687 "," 1,441 "," 1,424 "," 2,865 "
Sulaymaniyah,السليمانية,Dokan,دوكان,Bankard,بنكرد, 596 , 571 ," 1,168 "," 3,377 "," 3,409 "," 6,786 "," 3,973 "," 3,980 "," 7,953 "
Sulaymaniyah,السليمانية,Darbandihkan,دربندخان,Markaz Darbandihkan,مركز قضاء دربندخان," 22,064 "," 21,145 "," 43,209 "," 1,661 "," 1,677 "," 3,338 "," 23,725 "," 22,822 "," 46,547 "
Sulaymaniyah,السليمانية,Darbandihkan,دربندخان,Bawkhosheen,باو خوشين, 298 , 286 , 584 , 255 , 257 , 512 , 553 , 543 ," 1,096 "
Sulaymaniyah,السليمانية,Kalar,كلار,Markaz Kalar,مركز قضاء كلار," 70,418 "," 67,486 "," 137,904 "," 2,118 "," 2,138 "," 4,256 "," 72,537 "," 69,624 "," 142,161 "
Sulaymaniyah,السليمانية,Kalar,كلار,Rizkari,رزكاري," 17,490 "," 16,761 "," 34,251 "," 1,181 "," 1,192 "," 2,372 "," 18,670 "," 17,953 "," 36,624 "
Sulaymaniyah,السليمانية,Kalar,كلار,Pebaz,بيباز," 2,906 "," 2,785 "," 5,691 "," 1,016 "," 1,026 "," 2,042 "," 3,922 "," 3,811 "," 7,733 "
Sulaymaniyah,السليمانية,Kalar,كلار,Sheikhteweel,شيخ تة ويل, 213 , 204 , 417 ," 1,069 "," 1,079 "," 2,149 "," 1,282 "," 1,283 "," 2,566 "
Sulaymaniyah,السليمانية,Kifri,كفري,Markaz Kifri,مركز قضاء كفري," 16,784 "," 16,085 "," 32,870 ", 277 , 280 , 557 ," 17,062 "," 16,365 "," 33,427 "
Sulaymaniyah,السليمانية,Kifri,كفري,,ئاوة سبي, 29 , 28 , 57 , 508 , 512 ," 1,020 ", 537 , 540 ," 1,077 "
Sulaymaniyah,السليمانية,Kifri,كفري,,سة رقة لا, 991 , 950 ," 1,942 "," 2,722 "," 2,748 "," 5,470 "," 3,714 "," 3,698 "," 7,412 "
Sulaymaniyah,السليمانية,Kifri,كفري,Nojol,نوجول, 158 , 152 , 310 , 892 , 900 ," 1,792 "," 1,050 "," 1,052 "," 2,102 "
Sulaymaniyah,السليمانية,Kifri,كفري,Koks,كوكس, 135 , 129 , 264 ," 3,643 "," 3,677 "," 7,321 "," 3,778 "," 3,807 "," 7,585 "
Sulaymaniyah,السليمانية,Chamchamal,جمجمال,Markaz Chamchamal,مركز قضاء جمجمال," 31,664 "," 30,345 "," 62,009 ", 960 , 969 ," 1,929 "," 32,624 "," 31,314 "," 63,938 "
Sulaymaniyah,السليمانية,Chamchamal,جمجمال,Shorsh,شورش," 25,038 "," 23,996 "," 49,034 ", 798 , 806 ," 1,604 "," 25,836 "," 24,801 "," 50,638 "
Sulaymaniyah,السليمانية,Chamchamal,جمجمال,Sangaw, سنكاو, 831 , 796 ," 1,627 "," 2,151 "," 2,172 "," 4,323 "," 2,982 "," 2,968 "," 5,950 "
Sulaymaniyah,السليمانية,Chamchamal,جمجمال,Teki,تة كية," 13,458 "," 12,898 "," 26,356 ", 743 , 750 ," 1,494 "," 14,202 "," 13,648 "," 27,850 "
Sulaymaniyah,السليمانية,Chamchamal,جمجمال,Aghjalar,ئاغجة لةر," 1,027 ", 984 ," 2,011 "," 3,462 "," 3,495 "," 6,957 "," 4,489 "," 4,479 "," 8,967 "
Sulaymaniyah,السليمانية,Chamchamal,جمجمال,Qadir Karam,قادر كرم, 356 , 341 , 697 , 749 , 757 ," 1,506 "," 1,105 "," 1,098 "," 2,203 "
Sulaymaniyah,السليمانية,Chamchamal,جمجمال,Tkiajbari,تكية جبارى, 210 , 202 , 412 , 251 , 253 , 504 , 461 , 455 , 916 
Sulaymaniyah,السليمانية,Khanaqin,خانقين,Midan,ميدان, 399 , 383 , 782 ," 2,824 "," 2,851 "," 5,676 "," 3,224 "," 3,234 "," 6,458 "
Sulaymaniyah,السليمانية,Khanaqin,خانقين,,بة مو, 186 , 178 , 364 , 323 , 326 , 648 , 509 , 504 ," 1,012 "
Sulaymaniyah,السليمانية,Khanaqin,خانقين,,قورة تو, 222 , 212 , 434 ," 2,862 "," 2,889 "," 5,750 "," 3,083 "," 3,101 "," 6,184 "

