"","PlaceID","id","Governroate","District.x","Sub.District","Area","Place.x","sites.Religious.Buildings","sites.Unfinished.Buildings","sites.Open.Air","families.Religious.Buildings","families.Unfinished.Buildings","families.Open.Air","dtmfam.Religious.Buildings","dtmfam.Unfinished.Buildings","diff.Religious.Buildings","diff.Unfinished.Buildings","totalsites","totalfamilies","familysite","class.totalsites","class.familysite","Governorate","District.y","Place.y","Longitude","Latitude","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","class.family.fixed","class.quartile"
"11",7946,23,"Dahuk","Dahuk","City Centre","City Centre","Nizarke",NA,12,1,NA,207,15,50,160,-50,47,13,222,17.0769230769231,1,2,"Dahuk","Dahuk","Nazarke",43.047386,36.847433,"KRI",2538,423,0,1296,0,1242,0,0,0,0,0,2538,2538,0,0,0,1242,1296,0,"250-499","(870,5.42e+04]"
"12",7948,13,"Dahuk","Dahuk","City Centre","City Centre","Etit",1,6,NA,4,151,NA,NA,NA,4,151,7,155,22.1428571428571,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",7964,19,"Dahuk","Dahuk","Mangesh","Mangesh","Mangesh",3,NA,NA,10,NA,NA,100,550,-90,-550,3,10,3.33333333333333,1,1,"Dahuk","Dahuk","Mangesh",42.967361,36.866311,"KRI",6384,1064,0,2550,60,0,0,0,0,624,3150,2610,2550,2766,384,60,0,2550,0,"500-2000","(870,5.42e+04]"
"14",7984,16,"Dahuk","Dahuk","City Centre","City Centre","Kevila",NA,4,NA,NA,41,NA,NA,NA,0,41,4,41,10.25,1,1,"Dahuk","Dahuk","Kuvili",43.081403,36.875857,"KRI",246,41,0,0,0,246,0,0,0,0,0,246,246,0,0,0,246,0,0,"0-49","(72,252]"
"15",8084,42,"Dahuk","Zakho","Darkar","Darkar","Darkar",6,190,NA,170,690,NA,300,500,-130,190,196,860,4.38775510204082,4,1,"Dahuk","Zakho","Darkar",42.82,37.2,"KRI",9816,1636,0,1800,1038,4740,0,0,0,516,1722,7578,7578,822,900,1038,4740,1800,0,"500-2000","(870,5.42e+04]"
"16",8093,41,"Dahuk","Zakho","City Centre","City Centre","Bedar",1,38,NA,90,1300,NA,0,500,90,800,39,1390,35.6410256410256,2,2,"Dahuk","Zakho","Bedar",42.3921,37.0837,"KRI",19710,3285,0,1560,540,13800,0,0,0,1800,2010,15900,15900,750,1260,540,13800,1560,0,">2000","(870,5.42e+04]"
"17",8103,38,"Dahuk","Zakho","City Centre","City Centre","Abbassiya",1,60,NA,50,256,NA,140,520,-90,-264,61,306,5.01639344262295,2,1,"Dahuk","Zakho","Abbasiya",42.7,37.13,"KRI",16938,2823,0,6708,600,3336,0,0,0,1800,4494,10644,10644,1488,3006,600,3336,6708,0,">2000","(870,5.42e+04]"
"18",8110,45,"Dahuk","Zakho","City Centre","City Centre","Khrababka",NA,140,NA,NA,540,NA,0,100,0,440,140,540,3.85714285714286,3,1,"Dahuk","Zakho","Khrababka",42.4505,37.1015,"KRI",7242,1207,0,0,0,7242,0,0,0,0,0,7242,7242,0,0,0,7242,0,0,"500-2000","(870,5.42e+04]"
"19",8189,2,"Dahuk","Amedi","Bamerni","Bamerni","Bamerni",1,4,NA,16,48,NA,50,500,-34,-452,5,64,12.8,1,1,"Dahuk","Amedi","Bamarne",43.26,37.11,"KRI",4800,800,960,444,180,2268,0,0,0,0,948,3852,3852,948,0,180,3228,444,0,"500-2000","(870,5.42e+04]"
"20",8196,30,"Dahuk","Sumel","Batel","Batel","Batel",3,215,NA,28,1152,NA,528,400,-500,752,218,1180,5.41284403669725,4,1,"Dahuk","Sumel","Batel",42.68,36.96,"KRI",22320,3720,0,3552,228,12000,0,0,0,0,6540,15780,15780,4272,2268,228,12000,3552,0,">2000","(870,5.42e+04]"
