"","Row.names","Governorate","District","Place","Longitude","Latitude","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","ID","bio5_17","bio6_17","bio10_17","bio11_17","bio12_17","bio13_17","bio14_17","bio15_17","bio16_17","bio17_17","bio18_17","bio19_17","maxtemp","mintemp","meanwarm","meancold"
"1780","898","Baghdad","Karkh","Al Andulus - 617",44.33596,33.323165,132,22,0,0,0,0,0,0,0,0,898,43.4,4.1,33.4,11.1,155,30,0,90,83,0,0,75,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1781","899","Baghdad","Abu Ghraib","Kharnabat 13",44.192458,33.323986,3000,500,0,0,0,0,0,0,0,0,899,43.3,4,33.3,11.2,147,29,0,86,79,0,0,71,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1782","9","Basrah","Al-Zubair","Hay Al-Ansar",47.72277778,30.37527778,6,1,0,0,0,0,0,0,0,0,9,43.6,6.6,34.5,13.3,138,32,0,92,80,0,0,75,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"1783","90","Basrah","Basrah","Casino Lebnan",47.8101,30.5086,252,42,0,0,0,0,0,0,0,0,90,41.6,6.8,33.6,13.6,152,33,0,94,87,0,0,85,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"1784","900","Baghdad","Al Resafa","Al Muthana - 714",44.450418,33.326078,114,19,0,0,0,0,0,0,0,0,900,43.5,4.3,33.5,11.3,160,31,0,87,86,0,0,79,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1785","901","Baghdad","Al Resafa","Al Mashtal - 727",44.50081,33.329704,0,0,0,0,0,0,0,0,0,0,901,43.5,4.3,33.5,11.3,161,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1786","902","Baghdad","Al Resafa","Al Mashtal - 733",44.50082,33.329704,186,31,0,0,0,0,0,0,0,0,902,43.5,4.3,33.5,11.3,161,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1787","903","Baghdad","Al Resafa","Al Mashtal - 751",44.494548,33.330715,618,103,0,156,60,0,0,0,0,0,903,43.5,4.3,33.4,11.3,162,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1788","904","Baghdad","Karkh","Hay Al A'mil - 803",44.39111111,33.33083333,66,11,0,0,0,0,0,0,0,0,904,43.4,4.3,33.4,11.2,158,30,0,84,84,0,0,77,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1789","905","Baghdad","Karkh","Hay Al Adil - 647",44.308049,33.332043,156,26,0,0,0,0,0,0,0,0,905,43.3,4.1,33.3,11.2,154,30,0,90,83,0,0,75,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1790","906","Baghdad","Karkh","Hay Al Adil - 657",44.308049,33.332043,216,36,0,0,0,0,0,0,0,0,906,43.3,4.1,33.3,11.2,154,30,0,90,83,0,0,75,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1791","907","Baghdad","Al Resafa","Al Muthana - 718",44.473995,33.332545,60,10,0,0,0,0,0,0,0,0,907,43.5,4.4,33.5,11.3,160,31,0,87,86,0,0,79,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1792","908","Anbar","Falluja","Albu Alwan",43.737692,33.332845,1650,275,0,570,0,114,0,0,0,0,908,43.4,3.8,33.5,10.9,126,22,0,84,62,0,0,58,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1793","909","Baghdad","Karkh","Shekh Junid - 202",44.351971,33.333457,42,7,0,0,0,0,0,0,0,0,909,43.4,4.2,33.3,11.2,157,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1794","91","Basrah","Basrah","Al `Ashar",47.83,30.51,888,148,0,0,0,0,0,0,0,0,91,41.6,6.8,33.7,13.6,152,33,0,94,87,0,0,85,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"1795","910","Baghdad","Al Resafa","Al Fudhiliyah -753",44.512654,33.335429,30,5,0,0,0,0,0,0,0,0,910,43.5,4.4,33.5,11.3,162,31,0,89,87,0,0,81,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1796","911","Anbar","Falluja","Halabsa - Falluja",43.701182,33.337484,2364,394,0,954,0,276,0,0,0,0,911,43.5,3.8,33.6,10.9,126,22,0,84,62,0,0,58,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1797","912","Baghdad","Karkh","Sheikh Maaroof - 204",44.370203,33.338721,90,15,0,0,0,0,0,0,0,0,912,43.4,4.3,33.4,11.2,158,30,0,84,84,0,0,77,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1798","913","Baghdad","Kadhimia","Al Salam",44.34,33.34,690,115,0,0,0,0,0,0,0,108,913,43.4,4.2,33.4,11.2,156,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1799","914","Baghdad","Al Resafa","Al Muthana - 717",44.467025,33.341705,102,17,0,0,0,0,0,0,0,0,914,43.5,4.3,33.5,11.3,161,31,0,87,86,0,0,79,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1800","915","Anbar","Falluja","Huwaiwa",43.706358,33.343584,3072,512,0,168,48,414,0,66,0,0,915,43.5,3.8,33.6,10.9,126,22,0,84,62,0,0,58,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1801","916","Baghdad","Al Resafa","Al baladiyat - 728",44.483805,33.34489,66,11,0,30,0,0,0,0,0,0,916,43.5,4.3,33.4,11.3,162,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1802","917","Baghdad","Al Resafa","Al baladiyat - 730",44.486013,33.348078,48,8,0,0,0,0,0,0,0,0,917,43.5,4.3,33.4,11.3,162,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1803","918","Baghdad","Al Resafa","Al baladiyat - 734",44.486016,33.348085,30,5,0,0,0,0,0,0,0,0,918,43.5,4.3,33.4,11.3,162,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1804","919","Baghdad","Al Resafa","Al baladiyat - 732",44.4860119,33.348088,42,7,0,0,0,0,0,0,0,0,919,43.5,4.3,33.4,11.3,162,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
