"","Governorate","District","Place","Longitude","Latitude","PlaceID","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"143","Sulaymaniyah","Chamchamal","SANGAWIAKAN",44.83595,35.51304,"20813","KRI",852,142,0,0,0,0,0,0,0,0,852,0,0,0,852,0,0,0,0
"144","Erbil","Erbil","Ainkawa (108)",43.98,36.245,"20980","KRI",1380,230,0,0,0,0,0,0,0,0,1380,0,0,780,600,0,0,0,0
"145","Erbil","Erbil","Martshmony",43.987,36.235,"20986","KRI",120,20,0,0,0,0,0,0,0,0,120,0,0,0,120,0,0,0,0
"146","Sulaymaniyah","Sulaymaniya","Sarshaqam",45.43841,35.54398,"21023","KRI",1098,183,0,0,0,0,0,0,0,0,1098,0,0,0,1098,0,0,0,0
"147","Sulaymaniyah","Sulaymaniya","Toy malik",45.45625,35.56569,"21029","KRI",534,89,0,0,0,0,0,0,0,0,534,0,0,0,534,0,0,0,0
"148","Sulaymaniyah","Sulaymaniya","Farmanbaran",45.40264,35.58583,"21036","KRI",570,95,0,0,0,0,0,0,0,0,570,0,0,0,570,0,0,0,0
"149","Sulaymaniyah","Sulaymaniya","MAMOSTAYAN",45.43644,35.5696,"21050","KRI",348,58,0,0,0,0,0,0,0,0,348,0,0,0,348,0,0,0,0
"150","Sulaymaniyah","Sulaymaniya","Karezawshk",45.42778,35.57667,"21059","KRI",378,63,0,0,0,0,0,0,0,0,378,0,0,0,378,0,0,0,0
"151","Sulaymaniyah","Sulaymaniya","Gundy Almany",45.45389,35.58105,"21061","KRI",408,68,0,0,0,0,0,0,0,0,408,0,0,0,408,0,0,0,0
"152","Dahuk","Zakho","FIRQA",42.7064,37.16008,"21187","KRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Sulaymaniyah","Sulaymaniya","Azadi",45.4677,35.56763,"21202","KRI",516,86,0,0,0,0,0,0,0,0,516,0,0,0,516,0,0,0,0
"154","Sulaymaniyah","Sulaymaniya","Bakhtiyare",45.40317,35.57067,"21204","KRI",2712,452,0,0,0,0,0,0,0,0,2712,0,0,120,2592,0,0,0,0
"155","Sulaymaniyah","Sulaymaniya","Ibrahim Ahmad",45.46283,35.54372,"21205","KRI",486,81,0,0,0,0,0,0,0,0,486,0,0,0,486,0,0,0,0
"156","Sulaymaniyah","Sulaymaniya","Khabat",45.4456,35.54109,"21243","KRI",738,123,0,0,0,0,0,0,0,0,738,0,0,0,738,0,0,0,0
"157","Erbil","Erbil","Mamostayan",44.0486,36.1872,"21247","KRI",450,75,0,0,0,0,0,0,0,0,450,0,0,0,450,0,0,0,0
"158","Erbil","Erbil","Sitaqan",44.0212,36.1869,"21251","KRI",1440,240,0,0,0,0,0,0,0,0,1440,0,0,0,1440,0,0,0,0
"159","Erbil","Erbil","Zanko",44.0262,36.1498,"21253","KRI",2280,380,0,0,0,0,0,0,0,0,2280,0,0,0,2280,0,0,0,0
"160","Sulaymaniyah","Sulaymaniya","Guezhay Kun",45.45275,35.55769,"21254","KRI",450,75,0,0,0,0,0,0,0,0,450,0,0,0,450,0,0,0,0
"161","Sulaymaniyah","Sulaymaniya","Ashty",45.40677,35.56286,"21279","KRI",1020,170,0,0,0,0,0,0,0,0,1020,0,0,0,1020,0,0,0,0
"162","Sulaymaniyah","Sulaymaniya","Sharawane",45.13464,35.59951,"21283","KRI",1134,189,0,0,0,0,0,0,0,0,1134,0,0,0,1134,0,0,0,0
"163","Sulaymaniyah","Sulaymaniya","Shekh Muheden",45.43131,35.55099,"21284","KRI",1692,282,0,0,0,0,0,0,0,0,1692,0,0,0,1692,0,0,0,0
"164","Sulaymaniyah","Sulaymaniya","Chwar Bakh",45.43155,35.55101,"21285","KRI",426,71,0,0,0,0,0,0,0,0,426,0,0,0,426,0,0,0,0
"165","Sulaymaniyah","Sulaymaniya","Chwar Chra",45.41111,35.54604,"21287","KRI",1296,216,0,0,390,0,0,0,0,0,906,390,390,0,906,390,0,0,0
"166","Sulaymaniyah","Sulaymaniya","Qalawa Camp",45.41896,35.54058,"21320","KRI",384,64,0,0,0,0,0,0,0,0,384,0,0,0,384,0,0,0,0
"167","Dahuk","Dahuk","Kari Basi",42.99138889,36.8675,"21509","KRI",156,26,0,0,0,0,0,0,0,0,156,0,0,0,156,0,0,0,0
"168","Erbil","Erbil","Khoragr",44.14548,36.2082,"21549","KRI",840,140,0,0,0,0,0,0,0,0,840,0,0,0,840,0,0,0,0
"169","Erbil","Erbil","11 Athar",44.1506,36.2084,"21582","KRI",840,140,0,0,0,840,0,0,0,0,0,840,840,0,0,0,840,0,0
